tier,tier_label,n_cells,series,target,target_label,sparsity,retained_fraction,value,ci_lo,ci_hi,ci_status,n,unit,gate,note
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.9,0.09999999999999998,0.681663,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.95,0.050000000000000044,0.205452,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.95,0.050000000000000044,0.692513,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.95,0.050000000000000044,0.015885,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.95,0.050000000000000044,0.665744,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.97,0.030000000000000027,0.199713,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.97,0.030000000000000027,0.686774,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.97,0.030000000000000027,-0.005485,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.97,0.030000000000000027,0.644373,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.99,0.010000000000000009,0.210468,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.99,0.010000000000000009,0.697528,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.99,0.010000000000000009,0.013492,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.99,0.010000000000000009,0.663351,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.995,0.0050000000000000044,0.250911,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.995,0.0050000000000000044,0.737972,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.995,0.0050000000000000044,0.010719,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.995,0.0050000000000000044,0.660578,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,llama,llama-8B,0.999,0.0010000000000000009,-0.026978,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,llama,llama-8B,0.999,0.0010000000000000009,0.460083,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,per_target_delta_vs_dense,qwen,qwen-7B,0.999,0.0010000000000000009,-0.121020,,,,1,removal delta,v9,one of the 2 cells the band resamples
big,7–9B,2,per_target_cell_mean,qwen,qwen-7B,0.999,0.0010000000000000009,0.528839,,,,3,removal,v9,mean over 3 seed rows; 0 budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.0,1.0,0.000000,0.000000,0.000000,n/a,2,removal delta,v9,"REGISTERED v9 value; budget-fail scored 0.0 — dense reference, 0 by construction"
big,7–9B,2,delta_vs_dense_v9,,,0.5,0.5,-0.001587,-0.016810,0.013637,covers 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.9,0.09999999999999998,0.015650,-0.000503,0.031804,covers 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.95,0.050000000000000044,0.110669,0.015885,0.205452,excludes 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.97,0.030000000000000027,0.097114,-0.005485,0.199713,covers 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.99,0.010000000000000009,0.111980,0.013492,0.210468,excludes 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.995,0.0050000000000000044,0.130815,0.010719,0.250911,excludes 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_v9,,,0.999,0.0010000000000000009,-0.073999,-0.121020,-0.026978,excludes 0,2,removal delta,v9,REGISTERED v9 value; budget-fail scored 0.0
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.5,0.5,0.001823,-0.016810,0.020455,covers 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.9,0.09999999999999998,0.015525,-0.000755,0.031804,covers 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
big,7–9B,2,delta_vs_dense_sensitivity_fails_dropped,,,0.95,0.050000000000000044,-0.011096,-0.038078,0.015885,covers 0,2,removal delta,v9,NOT registered — v10 sensitivity to the nan->0 rule
